product_id,product_name,brand,category,price,rating,reviews
1,Timex Classic Classic Dial - Blue Silicone Band,Timex,Analog,8934,4.6,6658
2,Titan Premium Traditional - Green Metal Bracelet,Titan,Analog,15530,4.3,500
3,Fastrack Luxury Swim Watch - White Metal Bracelet,Fastrack,Sports,13521,4.5,8903
4,Realme Vintage Health Monitor - Green Ceramic Bezel,Realme,Smartwatch,4438,3.9,9939
5,Fitbit Classic Health Monitor - Black Silicone Band,Fitbit,Smartwatch,41497,4.1,8846
6,Casio Luxury Extreme Series - Brown Metal Bracelet,Casio,Sports,3008,4.4,1729
7,Fossil Sport Classic Dial - White Mineral Glass,Fossil,Analog,6240,3.9,851
8,Casio Vintage Minimalist - White Metal Bracelet,Casio,Analog,1343,4.7,7232
9,Sonata Classic Tech Watch - Green Steel Case,Sonata,Digital,5098,4.1,8460
10,Garmin Premium Fitness Tracker - Black Rubber Band,Garmin,Smartwatch,32183,4.8,9786
11,Daniel Wellington Vintage Dress Watch - White Steel Case,Daniel Wellington,Luxury,21593,4.8,2223
12,Pebble Classic Youth Series - Black Metal Bracelet,Pebble,Digital,6953,3.9,9026
13,Esprit Premium Contemporary - Green Rubber Band,Esprit,Fashion,8899,4.7,1537
14,Sonata Premium Modern Classic - Gold Mineral Glass,Sonata,Fashion,2109,3.8,3113
15,HMT Modern Minimalist - Brown Ceramic Bezel,HMT,Analog,12187,4.1,3417
16,Titan Premium Vintage Series - Gold Metal Bracelet,Titan,Analog,18208,3.8,3190
17,Amazfit Modern Digital Watch - Green Steel Case,Amazfit,Digital,4741,4.6,9276
18,Sonata Vintage Heritage Edition - Silver Leather Strap,Sonata,Analog,21059,4.7,6373
19,Maxima Sport Roman Dial - White Leather Strap,Maxima,Analog,1847,4.5,4093
20,Nike Modern Extreme Series - Gold Rubber Band,Nike,Sports,8293,4.0,1296
21,Casio Sport Skeleton Watch - Brown Nylon Strap,Casio,Analog,10354,4.5,2013
22,Adidas Luxury Extreme Series - Gold Leather Strap,Adidas,Sports,8080,3.9,7987
23,Orient Sport Chic Edition - Black Rubber Band,Orient,Fashion,11063,4.5,4243
24,Fastrack Classic Multi-Function - Green Rubber Band,Fastrack,Digital,7077,4.8,5828
25,Sonata Sport Chic Edition - Rose Gold Metal Bracelet,Sonata,Fashion,4273,4.1,7329
26,Titan Modern Quartz - Silver Steel Case,Titan,Luxury,2223,4.7,4204
27,Tommy Hilfiger Vintage Chronograph - Black Rubber Band,Tommy Hilfiger,Luxury,18653,3.8,9703
28,Casio Classic Outdoor Watch - Blue Leather Strap,Casio,Sports,8433,3.9,8071
29,Fastrack Elegant Minimalist - Silver Nylon Strap,Fastrack,Analog,12348,4.2,5173
30,Casio Professional Calculator Watch - Green Metal Bracelet,Casio,Digital,5690,4.7,8343
31,Timex Luxury Fitness Tracker - White Mineral Glass,Timex,Sports,2269,4.0,6604
32,Casio Sport Vintage Series - Green Steel Case,Casio,Analog,11026,4.7,3508
33,Sonata Luxury Minimalist - Black Nylon Strap,Sonata,Analog,5796,3.9,7943
